Rank,Nome,Plataforma,Ano,Genero,Publicadora,Vendas_AmericaDoNorte,Vendas_EU,Vendas_JP,Vendas_Outras,Vendas_Global
3235,MySims Racing,0,2009,Racing,Electronic Arts,0.26,0.29,0,0.07,0.63
3243,Prince of Persia: The Forgotten Sands,0,2010,Action,Ubisoft,0.3,0.26,0,0.06,0.62
3244,Vanquish,0,2010,Shooter,Sega,0.21,0.22,0.11,0.09,0.62
3247,Sacred 2: Fallen Angel,0,2009,Role-Playing,Deep Silver,0.22,0.23,0.08,0.09,0.62
3252,LEGO Pirates of the Caribbean: The Video Game,0,2011,Action,Disney Interactive Studios,0.29,0.28,0,0.06,0.62
3257,Warriors Orochi 3,0,2011,Action,Ubisoft Annecy,0,0.04,0.57,0.01,0.62
3258,Bolt,0,2008,Adventure,Disney Interactive Studios,0.35,0.21,0,0.06,0.62
3264,Wipeout: The Game,0,2010,Misc,Activision,0.58,0,0,0.04,0.62
3269,Dragon Ball Z: Ultimate Tenkaichi,0,2011,Fighting,Namco Bandai Games,0.27,0.18,0.09,0.08,0.62
3270,WWE SmackDown vs. Raw 2010,0,2009,Fighting,THQ,0.25,0.23,0,0.14,0.62
3278,Wall-E,0,2008,Platform,THQ,0.29,0.26,0,0.07,0.62
3281,Dragon Quest Monsters: Joker 2 Professional,0,2011,Role-Playing,Square Enix,0,0,0.62,0,0.62
3285,Muramasa: The Demon Blade,0,2009,Role-Playing,Rising Star Games,0.33,0.13,0.11,0.04,0.61
3286,NBA 2K9,0,2008,Sports,Take-Two Interactive,0.56,0,0,0.05,0.61
3287,SingStar Singalong With Disney,0,2008,Misc,Sony Computer Entertainment,0,0.04,0,0.57,0.61
3293,Disney Sing It: Family Hits,0,2010,Misc,Disney Interactive Studios,0.39,0.18,0,0.05,0.61
3297,New Carnival Games,0,2010,Misc,Take-Two Interactive,0.35,0.21,0,0.05,0.61
3298,Tony Hawk: RIDE,0,2009,Sports,Activision,0.46,0.1,0,0.05,0.61
3300,Cooking Mama 4: Kitchen Magic!,0,2011,Simulation,505 Games,0.5,0.07,0,0.04,0.61
3303,Cabela's Monster Buck Hunter,0,2010,Sports,Activision,0.58,0,0,0.03,0.61
3305,pro evolution soccer 2011,0,2010,Sports,Konami Digital Entertainment,0.09,0.44,0,0.07,0.61
3306,New Play Control! Donkey Kong Jungle Beat,0,2008,Platform,Nintendo,0.24,0.17,0.14,0.05,0.61
3308,Yakuza: Dead Souls,0,2011,Shooter,Sega,0.09,0.07,0.42,0.03,0.61
3309,Littlest Pet Shop: Garden,0,2008,Simulation,Electronic Arts,0.31,0.24,0,0.06,0.61
3312,Pac-Man Party,0,2010,Misc,Namco Bandai Games,0.47,0.09,0.01,0.04,0.61
3313,Jak and Daxter: The Lost Frontier,0,2009,Platform,Sony Computer Entertainment,0.18,0.27,0,0.15,0.61
3314,Major League Baseball 2K8,0,2008,Sports,Bethesda Softworks,0.56,0,0,0.05,0.61
3316,Major League Baseball 2K9,0,2009,Sports,Spike,0.56,0,0,0.05,0.61
3317,Petz: Dogz Pack,0,2008,Simulation,Ubisoft,0.56,0,0,0.05,0.61
3318,Split/Second,0,2010,Racing,Disney Interactive Studios,0.32,0.23,0,0.06,0.61
3325,Guitar Hero: Smash Hits,0,2009,Misc,Activision,0.33,0.21,0,0.06,0.61
3326,Disney TH!NK Fast: The Ultimate Trivia Showdown,0,2008,Misc,Disney Interactive Studios,0.37,0.16,0.01,0.06,0.61
3331,Littlest Pet Shop: Jungle,0,2008,Simulation,Electronic Arts,0.34,0.2,0,0.06,0.61
3333,Fighters Uncaged,0,2010,Fighting,Ubisoft,0.31,0.24,0,0.06,0.61
3334,Call of Juarez: Bound in Blood,0,2009,Shooter,Ubisoft,0.3,0.24,0,0.06,0.61
3335,New Play Control! Pikmin 2,0,2009,Strategy,Nintendo,0.11,0.14,0.33,0.02,0.6
3337,Hot Shots Golf: World Invitational,0,2011,Sports,Sony Computer Entertainment,0.19,0.11,0.25,0.06,0.6
3343,MonHun Nikki: Poka Poka Ailu Mura,0,2010,Role-Playing,Ca1om,0,0,0.6,0,0.6
3346,Phineas and Ferb: Across the 2nd Dimension,0,2011,Action,Disney Interactive Studios,0.36,0.19,0,0.05,0.6
3349,WarioWare D.I.Y.,0,2009,Misc,Nintendo,0.18,0.19,0.2,0.04,0.6
3350,Tony Hawk: RIDE,0,2009,Sports,Activision,0.38,0.15,0,0.08,0.6
3352,Alice: Madness Returns,0,2011,Adventure,Electronic Arts,0.22,0.25,0.04,0.09,0.6
3355,Secret Agent Clank,0,2009,Platform,Sony Computer Entertainment,0.13,0.18,0,0.29,0.6
3357,Avatar: The Game,0,2009,Action,Ubisoft,0.22,0.24,0,0.14,0.6
3366,Disney Sing It! High School Musical 3: Senior Year,0,2008,Misc,Disney Interactive Studios,0.32,0.23,0,0.04,0.6
3371,Blur,0,2010,Racing,Activision,0.25,0.28,0,0.06,0.6
3375,NHL 11,0,2010,Sports,Electronic Arts,0.4,0.13,0,0.07,0.6
3377,Monopoly,0,2008,Misc,Electronic Arts,0.34,0.2,0,0.06,0.6
3381,The Fight: Lights Out,0,2010,Fighting,Sony Computer Entertainment,0.29,0.22,0,0.09,0.6
3384,Dead Space,1,2008,Action,Electronic Arts,0,0.53,0,0.06,0.59
3388,Beijing 2008,0,2008,Sports,Sega,0.15,0.38,0,0.07,0.59
3390,Jeopardy!,0,2010,Misc,THQ,0.56,0,0,0.03,0.59
3392,Assassin's Creed: Brotherhood,1,2011,Action,Ubisoft,0.15,0.34,0,0.1,0.59
3396,Final Fantasy: The 4 Heroes of Light,0,2009,Role-Playing,Square Enix,0.23,0.11,0.23,0.03,0.59
3397,Iron Man,0,2008,Action,Sega,0.31,0.22,0,0.06,0.59
3398,Kane & Lynch 2: Dog Days,0,2010,Shooter,Square Enix,0.17,0.28,0.05,0.1,0.59
3400,Total War: Shogun 2,1,2011,Strategy,Sega,0.19,0.31,0,0.09,0.59
3402,Rock Band 2,0,2008,Misc,MTV Games,0.29,0.23,0,0.08,0.59
3404,LEGO Indiana Jones 2: The Adventure Continues,0,2009,Action,Activision,0.21,0.24,0,0.14,0.59
3406,Naruto: The Broken Bond,0,2008,Action,Ubisoft,0.24,0.28,0,0.07,0.59
3412,Go Diego Go! Great Dinosaur Rescue,0,2008,Action,Take-Two Interactive,0.53,0.02,0,0.04,0.59
3420,NHL 12,0,2011,Sports,Electronic Arts,0.36,0.16,0,0.07,0.59
3422,Silent Hill: Shattered Memories,0,2010,Action,Konami Digital Entertainment,0.13,0.22,0.01,0.23,0.59
3424,Skate it,0,2008,Sports,Electronic Arts,0.51,0.04,0,0.05,0.59
3425,Game Party in Motion,0,2010,Misc,Warner Bros. Interactive Entertainment,0.36,0.18,0,0.05,0.59
3427,Lost: Via Domus,0,2008,Action,Ubisoft,0.18,0.34,0,0.07,0.59
3431,Ben 10: Alien Force,0,2008,Action,Koch Media,0.35,0.14,0,0.1,0.59
3432,Deus Ex: Human Revolution,1,2011,Shooter,Square Enix,0.25,0.25,0,0.09,0.59
3433,Zumba Fitness,0,2010,Sports,505 Games,0.28,0.21,0,0.09,0.59
3436,FIFA Soccer 10,0,2009,Sports,Electronic Arts,0.14,0.37,0,0.07,0.59
3440,Top Spin 3,0,2008,Action,Take-Two Interactive,0.15,0.37,0,0.07,0.58
3442,SpongeBob SquarePants featuring Nicktoons: Globs of Doom,0,2008,Action,THQ,0.29,0.22,0,0.07,0.58
3443,The Conduit,0,2009,Shooter,Sega,0.29,0.23,0,0.06,0.58
3447,Cabela's Dangerous Hunts 2011,0,2010,Sports,Activision,0.53,0.02,0,0.04,0.58
3452,Harvest Moon: Sunshine Islands,0,2008,Simulation,Rising Star Games,0.35,0.03,0.17,0.03,0.58
3453,Trivial Pursuit,0,2009,Misc,Electronic Arts,0.21,0.31,0,0.07,0.58
3454,The Legend of Spyro: Dawn of the Dragon,0,2008,Platform,Vivendi Games,0.35,0.18,0,0.05,0.58
3455,The Sims 3: World Adventures,1,2009,Simulation,Electronic Arts,0.02,0.18,0,0.39,0.58
3457,Rayman Origins,0,2011,Platform,Ubisoft,0.23,0.29,0,0.07,0.58
3460,NCAA Football 09,0,2008,Sports,Electronic Arts,0.54,0,0,0.04,0.58
3461,Tom Clancy's HAWX,0,2009,Action,Ubisoft,0.31,0.19,0.02,0.06,0.58
3465,"Transformers: War for Cybertron (XBox 360, PS3, & 1 Versions)",0,2010,Shooter,Activision,0.37,0.15,0,0.05,0.58
3466,Harvest Moon: The Tale of Two Towns,0,2010,Simulation,Natsume,0.27,0.06,0.22,0.03,0.58
3480,Petz Nursery,0,2009,Simulation,Ubisoft,0.53,0,0,0.04,0.58
3488,Rock Band 3,0,2010,Misc,MTV Games,0.43,0.09,0,0.06,0.58
3489,Disgaea 4: A Promise Unforgotten,0,2011,Role-Playing,Nippon Ichi Software,0.27,0.11,0.14,0.06,0.58
3490,BlazBlue: Calamity Trigger,0,2009,Fighting,PQube,0.36,0.1,0.06,0.06,0.58
3493,MLB 11: The Show,0,2011,Sports,Sony Computer Entertainment,0.54,0,0,0.04,0.58
3496,NHL 10,0,2009,Sports,Electronic Arts,0.38,0.12,0,0.07,0.58
3497,Rooms: The Main Building,0,2010,Adventure,Nintendo,0.1,0.41,0.01,0.06,0.58
3498,Rapala: We Fish,0,2009,Sports,Activision,0.52,0.02,0,0.04,0.58
3500,Tetris Party Deluxe,0,2010,Puzzle,Nintendo,0.34,0.17,0.02,0.05,0.58
3502,Ratchet & Clank: Quest for Booty,0,2008,Platform,Sony Computer Entertainment,0,0.53,0,0.04,0.58
3504,NCAA Football 10,0,2009,Sports,Electronic Arts,0.28,0.22,0,0.07,0.58
3505,Top Spin 3,0,2008,Action,Take-Two Interactive,0.08,0.37,0,0.12,0.57
3512,Hasbro Family Game Night,0,2008,Puzzle,Electronic Arts,0.28,0.22,0,0.07,0.57
3514,Up,0,2009,Action,THQ,0.23,0.28,0,0.06,0.57
3516,Disney Universe,0,2011,Action,Disney Interactive Studios,0.37,0.15,0,0.05,0.57
3517,Iron Man,0,2008,Action,Sega,0.27,0.24,0,0.06,0.57
3520,Enslaved: Odyssey to the West,0,2010,Action,Namco Bandai Games,0.24,0.24,0.01,0.09,0.57
3521,SpongeBob SquarePants featuring Nicktoons: Globs of Doom,0,2008,Action,THQ,0.53,0,0,0.04,0.57
3523,Ben 10: Alien Force,0,2008,Action,Koch Media,0.22,0.02,0,0.33,0.57
3525,"Warhammer 40,000: Space Marine",0,2011,Shooter,THQ,0.25,0.27,0,0.06,0.57
3528,Assassin's Creed II,1,2010,Action,Ubisoft,0.01,0.45,0,0.11,0.57
3529,Petz Wild Animals: Tigerz,0,2008,Simulation,Ubisoft,0.52,0.01,0,0.04,0.57
3533,3D Dot Game Heroes,0,2009,Role-Playing,SouthPeak Games,0.36,0.12,0.03,0.07,0.57
3536,Jillian Michaels Fitness Ultimatum 2010,0,2009,Sports,Majesco Entertainment,0.52,0.01,0,0.04,0.57
3537,Pro Evolution Soccer 2012,0,2011,Action,Konami Digital Entertainment,0.1,0.12,0.29,0.07,0.57
3538,Grease,0,2010,Misc,505 Games,0.27,0.25,0,0.05,0.57
3541,Skylanders: Spyro's Adventure,0,2011,Action,Activision,0.32,0.2,0,0.05,0.57
3542,Dora The Explorer: Dora Saves the Snow Princess,0,2008,Platform,Take-Two Interactive,0.5,0.03,0,0.04,0.57
3556,LEGO Rock Band,0,2009,Misc,Warner Bros. Interactive Entertainment,0.4,0.12,0,0.05,0.57
3557,Bolt,0,2008,Adventure,Disney Interactive Studios,0.19,0.31,0,0.06,0.57
3558,Top Spin 3,0,2008,Action,Take-Two Interactive,0.09,0.4,0,0.07,0.57
3559,Tom Clancy's HAWX,0,2009,Action,Ubisoft,0.21,0.22,0.05,0.09,0.57
3581,Phineas and Ferb: Across the 2nd Dimension,0,2011,Action,Disney Interactive Studios,0.32,0.19,0,0.05,0.56
3584,Wolfenstein,0,2009,Shooter,Activision,0.28,0.22,0,0.06,0.56
3589,Tony Hawk: Shred,0,2010,Sports,Activision,0.41,0.11,0,0.04,0.56
3597,Monster High: Ghoul Spirit,0,2011,Misc,THQ,0.44,0.08,0,0.04,0.56
3598,Final Fantasy IV: The Complete Collection,0,2011,Role-Playing,Square Enix,0.13,0.09,0.27,0.06,0.56
3599,Frontlines: Fuel of War,0,2008,Shooter,THQ,0.34,0.15,0.01,0.05,0.56
3600,Lips: Number One Hits,0,2009,Misc,Microsoft Game Studios,0.15,0.35,0,0.07,0.56
3603,Viva Pinata: Pocket Paradise,0,2008,Simulation,THQ,0.27,0.23,0,0.06,0.56
3608,Madagascar: Escape 2 Africa,0,2008,Action,Activision,0.32,0.18,0,0.05,0.56
3614,DS Bimoji Training,0,2008,Misc,Nintendo,0,0,0.56,0,0.56
3616,Petz Catz Clan,0,2008,Simulation,Ubisoft,0.48,0.04,0,0.04,0.56
3618,G-Force,0,2009,Action,Disney Interactive Studios,0.27,0.23,0,0.06,0.56
3619,Tiger Woods PGA Tour 11,0,2010,Sports,Electronic Arts,0.24,0.26,0,0.06,0.56
3622,Monster Jam: Path of Destruction,0,2010,Racing,Activision,0.5,0.02,0,0.03,0.56
3627,God of War: Origins Collection,0,2011,Action,Sony Computer Entertainment,0.39,0.08,0.02,0.06,0.56
3628,MX vs. ATV: Alive,0,2011,Racing,THQ,0.37,0.14,0,0.05,0.56
3632,ZhuZhu Pets 2: Featuring The Wild Bunch,0,2010,Simulation,Activision,0.41,0.11,0,0.04,0.55
3639,Harry Potter and the Deathly Hallows - Part 1,0,2010,Action,Electronic Arts,0.22,0.28,0,0.05,0.55
3644,Legends of WrestleMania,0,2009,Fighting,THQ,0.3,0.17,0,0.07,0.55
3647,50 Classic Games,0,2009,Misc,Destineer,0.52,0,0,0.04,0.55
3654,Tatsunoko vs. Ca1om: Ultimate All-Stars,0,2010,Fighting,Ca1om,0.32,0.16,0.03,0.05,0.55
3657,Secret Agent Clank(US sales),0,2008,Platform,Sony Computer Entertainment,0.33,0.22,0,0,0.55
3661,Barbie Horse Adventures: Riding Camp,0,2008,Sports,Activision,0.51,0,0,0.04,0.55
3662,CrossworDS,0,2008,Puzzle,Deep Silver,0.51,0,0,0.04,0.55
3672,Time Crisis: Razing Storm,0,2010,Shooter,Namco Bandai Games,0.18,0.21,0.07,0.08,0.55
3675,Enslaved: Odyssey to the West,0,2010,Action,Namco Bandai Games,0.3,0.19,0,0.05,0.55
3677,Summer Sports: Paradise Island,0,2008,Sports,Ubisoft,0.49,0.02,0,0.04,0.55
3679,Dynasty Warriors: Gundam 3,0,2010,Action,Tecmo Koei,0.11,0.05,0.36,0.02,0.55
3683,Metro 2033,0,2010,Shooter,THQ,0.22,0.24,0.03,0.05,0.55
3684,Are You Smarter than a 5th Grader? Make the Grade,0,2008,Misc,THQ,0.51,0,0,0.04,0.55
3690,Iron Man,0,2008,Action,Sega,0.36,0,0,0.19,0.54
3691,SingStar Summer Party,0,2008,Misc,Sony Computer Entertainment,0,0.06,0,0.48,0.54
3693,NBA Live 10,0,2009,Sports,Electronic Arts,0.46,0.03,0.01,0.05,0.54
3699,Sacred 2: Fallen Angel,0,2009,Role-Playing,Deep Silver,0.29,0.17,0.04,0.05,0.54
3700,System 3 presents Ferrari Challenge Trofeo Pirelli,0,2008,Racing,System 3 Arcade Software,0.07,0.4,0,0.07,0.54
3702,ModNation Racers,0,2010,Racing,Sony Computer Entertainment,0.11,0.27,0.02,0.14,0.54
3704,Two Worlds II,0,2011,Role-Playing,Unknown,0.4,0.08,0.03,0.04,0.54
3706,Michael Jackson: The Experience,0,2011,Misc,Ubisoft,0.25,0.2,0,0.08,0.54
3710,Inazuma Eleven,0,2008,Role-Playing,Nintendo,0,0.14,0.38,0.02,0.54
3711,Ninokuni: Shikkoku no Madoushi,0,2010,Role-Playing,Level 5,0,0,0.54,0,0.54
3716,Despicable Me: The Game - Minion Mayhem,0,2010,Puzzle,D3Publisher,0.42,0.09,0,0.04,0.54
3721,Kidou Senshi Gundam: Extreme VS,0,2011,Fighting,Namco Bandai Games,0,0,0.54,0,0.54
3722,Dragon Ball Z: Ultimate Tenkaichi,0,2011,Fighting,Namco Bandai Games,0.39,0.1,0.01,0.04,0.54
3727,Let's Draw!,0,2008,Misc,Ubisoft,0.24,0.23,0,0.06,0.54
3730,Valkyria Chronicles II,0,2010,Role-Playing,Sega,0.12,0.16,0.18,0.09,0.54
3733,Rune Factory 2: A Fantasy Harvest Moon,0,2008,Role-Playing,Rising Star Games,0.33,0.03,0.15,0.03,0.54
3734,Terminator Salvation,0,2009,Shooter,Warner Bros. Interactive Entertainment,0.13,0.29,0.01,0.11,0.54
3735,Cars 2,0,2011,Racing,Disney Interactive Studios,0.22,0.23,0,0.09,0.54
3737,How to Train Your Dragon,0,2010,Action,Activision,0.32,0.17,0,0.05,0.54
3739,WWE SmackDown vs. Raw 2010,0,2009,Fighting,THQ,0.35,0.14,0,0.05,0.54
3741,Hello Kitty: Big City Dreams,0,2008,Puzzle,Empire Interactive,0.42,0.08,0,0.04,0.54
3745,Inazuma Eleven GO,0,2011,Role-Playing,Nintendo,0,0.05,0.48,0,0.54
3751,Magician's Quest: Mysterious Times,0,2008,Role-Playing,Konami Digital Entertainment,0.04,0.01,0.48,0,0.54
3754,Tales of Symphonia: Dawn of the New World,0,2008,Role-Playing,Namco Bandai Games,0.22,0.05,0.24,0.03,0.54
3759,Jewel Master Egypt,0,2009,Puzzle,Rondomedia,0.21,0.27,0,0.05,0.53
3763,SpongeBob SquarePants featuring Nicktoons: Globs of Doom,0,2008,Action,THQ,0.49,0,0,0.04,0.53
3766,Tactics Ogre: Let Us Cling Together,0,2010,Role-Playing,Square Enix,0.15,0.07,0.27,0.05,0.53
3774,SimAnimals,0,2009,Simulation,Electronic Arts,0.26,0.21,0,0.06,0.53
3777,NASCAR 09,0,2008,Racing,Electronic Arts,0.26,0.2,0,0.07,0.53
3781,Sesame Street: Once Upon A Monster,0,2011,Misc,Warner Bros. Interactive Entertainment,0.39,0.1,0,0.04,0.53
3786,SingStar Dance,0,2010,Misc,Sony Computer Entertainment,0.09,0.32,0,0.12,0.53
3789,FIFA 12,0,2011,Sports,Electronic Arts,0.12,0.26,0.02,0.14,0.53
3791,Batman: Arkham City,1,2011,Action,Warner Bros. Interactive Entertainment,0.16,0.28,0,0.09,0.53
3797,We Cheer,0,2008,Simulation,505 Games,0.48,0,0,0.04,0.53
3800,Alice in Wonderland,0,2010,Adventure,Disney Interactive Studios,0.27,0.21,0,0.05,0.53
3801,Littlest Pet Shop 3: Biggest Stars - Blue / Pink / Purple Team,0,2010,Simulation,Electronic Arts,0.5,0,0,0.03,0.53
3803,Bulletstorm,0,2011,Shooter,Electronic Arts,0.23,0.2,0.01,0.08,0.53
3804,F.E.A.R. 2: Project Origin,0,2009,Shooter,Warner Bros. Interactive Entertainment,0.32,0.15,0,0.05,0.53
3805,Tiger Woods PGA Tour 11,0,2010,Sports,Electronic Arts,0.28,0.2,0,0.05,0.53
3808,F1 2009,0,2009,Racing,Codemasters,0.08,0.29,0,0.16,0.53
3815,Go Diego Go! Safari Rescue,0,2008,Action,Take-Two Interactive,0.48,0.01,0,0.04,0.53
3817,Picross 3D,0,2009,Puzzle,Nintendo,0.3,0.03,0.16,0.03,0.53
3826,Guinness World Records: The Videogame,0,2008,Action,Warner Bros. Interactive Entertainment,0.47,0.01,0,0.04,0.52
3830,Spectrobes: Beyond the Portals,0,2008,Role-Playing,Disney Interactive Studios,0.37,0.11,0,0.04,0.52
3831,Classic Word Games,0,2009,Misc,Ubisoft,0.09,0.37,0,0.07,0.52
3832,Naruto Shippuden: Clash of Ninja Revolution 3,0,2009,Fighting,Nintendo,0.45,0.04,0,0.04,0.52
3838,Star Wars Battlefront: Elite Squadron,0,2009,Shooter,LucasArts,0.44,0.04,0,0.04,0.52
3842,Way of the Samurai 3,0,2008,Action,Gamebridge,0.18,0.08,0.22,0.04,0.52
3843,NBA Live 09,0,2008,Sports,Electronic Arts,0.46,0,0.02,0.04,0.52
3844,DC Universe Online,0,2011,Role-Playing,Sony Online Entertainment,0.35,0.12,0,0.06,0.52
3850,Bully: Scholarship Edition,0,2008,Action,Take-Two Interactive,0.17,0.29,0,0.06,0.52
3851,IL-2 Sturmovik: Birds of Prey,0,2009,Simulation,505 Games,0.23,0.24,0,0.05,0.52
3854,Cars Toon: Mater's Tall Tales,0,2010,Misc,Disney Interactive Studios,0.46,0.02,0,0.03,0.52
3855,Kung Fu Panda,0,2008,Action,Activision,0.21,0.21,0,0.09,0.52
3874,Iron Man,0,2008,Action,Sega,0.35,0.12,0,0.05,0.52
3880,Dragon Age: Origins,1,2009,Role-Playing,Electronic Arts,0,0.46,0,0.06,0.51
3885,The 3rd Birthday,0,2010,Role-Playing,Square Enix,0.13,0.07,0.27,0.05,0.51
3886,Prince of Persia Trilogy,0,2010,Action,Ubisoft,0.17,0.25,0,0.09,0.51
3888,100 All-Time Favorites,0,2009,Puzzle,Ubisoft,0.35,0.12,0,0.04,0.51
3892,SoulCalibur: Broken Destiny,0,2009,Fighting,Namco Bandai Games,0.12,0.2,0.07,0.12,0.51
3893,The Saboteur,0,2009,Action,Electronic Arts,0.26,0.21,0,0.05,0.51
3895,Pro Evolution Soccer 2010,0,2009,Sports,Konami Digital Entertainment,0.12,0.27,0.06,0.05,0.51
3896,Goldeneye 007: Reloaded,0,2011,Shooter,Activision,0.25,0.21,0,0.05,0.51
3897,Jam With the Band,0,2008,Misc,Nintendo,0,0,0.51,0,0.51
3903,Sega Bass Fishing,0,2008,Sports,Sega,0.46,0.01,0,0.04,0.51
3907,Dragon Ball: Raging Blast,0,2009,Fighting,Namco Bandai Games,0.36,0.09,0.02,0.04,0.51
3911,Major League Baseball 2K10,0,2010,Sports,Take-Two Interactive,0.47,0,0,0.04,0.51
3912,Monsters vs. Aliens,0,2009,Action,Activision,0.33,0.13,0,0.05,0.51
3913,"Transformers: War for Cybertron (XBox 360, PS3, & 1 Versions)",0,2010,Shooter,Activision,0.24,0.19,0,0.08,0.51
3915,Lost: Via Domus,0,2008,Action,Ubisoft,0.19,0.23,0,0.09,0.51
3921,R.U.S.E.,0,2010,Strategy,Ubisoft,0.18,0.22,0.02,0.09,0.51
3922,Disgaea 3: Absence of Justice,0,2008,Role-Playing,Square Enix,0.32,0.04,0.11,0.04,0.51
3928,Harry Potter and the Half-Blood Prince,0,2009,Action,Electronic Arts,0.18,0.21,0,0.12,0.51
3930,NBA 2K11,0,2010,Action,Take-Two Interactive,0.47,0.01,0,0.03,0.51
3936,Euro Truck Simulator,1,2008,Simulation,Rondomedia,0,0.42,0,0.09,0.51
3947,Hidden Mysteries: Titanic - Secrets of the Fateful Voyage,0,2009,Adventure,GSP,0.12,0.33,0,0.06,0.51
3951,NHL 09,0,2008,Sports,Electronic Arts,0.45,0.01,0,0.04,0.5
3956,Alice: Madness Returns,0,2011,Adventure,Electronic Arts,0.27,0.15,0.04,0.04,0.5
3957,Pro Evolution Soccer 2012,0,2011,Action,Konami Digital Entertainment,0.1,0.34,0,0.07,0.5
3960,Atelier Rorona: Alchemist of Arland,0,2009,Role-Playing,Nippon Ichi Software,0.22,0.12,0.11,0.05,0.5
3961,Monster Hunter Freedom 2,0,2011,Role-Playing,Ca1om,0,0,0.5,0,0.5
3967,Disney Sing It,0,2008,Misc,Disney Interactive Studios,0.25,0.19,0,0.06,0.5
3970,Crash: Mind Over Mutant,0,2008,Platform,Vivendi Games,0.25,0.19,0,0.06,0.5
3973,Babysitting Mama,0,2010,Simulation,505 Games,0.34,0.12,0,0.04,0.5
3976,Bleach: Soul Resurreccion,0,2011,Fighting,Nippon Ichi Software,0.27,0.11,0.07,0.05,0.5
3982,Fortune Street,0,2011,Misc,Nintendo,0.27,0.04,0.17,0.02,0.5
3984,Alice in Wonderland,0,2010,Adventure,Disney Interactive Studios,0.27,0.18,0,0.05,0.5
3992,The Saboteur,0,2009,Action,Electronic Arts,0.2,0.22,0,0.08,0.5
3995,Madden NFL 11,0,2010,Sports,Electronic Arts,0.41,0.02,0,0.07,0.5
3998,The Price is Right,0,2008,Misc,Ubisoft,0.46,0,0,0.04,0.5
4000,Cars 2,0,2011,Racing,Disney Interactive Studios,0.28,0.17,0,0.05,0.5
4001,Dreamworks Madagascar Kartz,0,2009,Racing,Activision,0.29,0.16,0,0.05,0.5
4005,Dynasty Warriors: Gundam 2,0,2008,Action,Namco Bandai Games,0.09,0.07,0.32,0.03,0.5
4008,Super Robot Taisen Z,0,2008,Strategy,Namco Bandai Games,0,0,0.5,0,0.5
4019,Ridge Racer 3D,0,2011,Racing,Namco Bandai Games,0.19,0.15,0.12,0.03,0.5
4021,Ace Combat: Assault Horizon,0,2011,Action,Namco Bandai Games,0.3,0.12,0.03,0.04,0.49
4022,Resident Evil: The Mercenaries 3D,0,2011,Action,Ca1om,0.16,0.17,0.13,0.03,0.49
4023,Super Monkey Ball 3D,0,2011,Action,Sega,0.26,0.15,0.05,0.04,0.49
4026,MotorStorm: Apocalypse,0,2011,Racing,Sony Computer Entertainment,0.21,0.2,0,0.08,0.49
4031,Kane & Lynch 2: Dog Days,0,2010,Shooter,Square Enix,0.2,0.23,0.01,0.05,0.49
4037,Ultimate I Spy,0,2008,Adventure,Scholastic Inc.,0.45,0,0,0.03,0.49
4041,FIFA Soccer 09,0,2008,Sports,Electronic Arts,0.12,0.31,0,0.06,0.49
4045,"Transformers: Revenge of the Fallen (XBox 360, PS3, & 1 Versions)",0,2009,Shooter,Activision,0.24,0.2,0,0.05,0.49
4048,Dragon Ball Z: Burst Limit,0,2008,Fighting,Atari,0.24,0.18,0.03,0.05,0.49
4049,Bakugan Battle Brawlers: Defenders of the Core,0,2010,Action,Activision,0.42,0.02,0.02,0.03,0.49
4050,Medal of Honor,1,2010,Shooter,Electronic Arts,0.2,0.23,0,0.07,0.49
4055,WipEout Pulse,0,2009,Racing,Sony Computer Entertainment,0,0.15,0,0.33,0.49
4060,Alone in the Dark,0,2008,Adventure,Atari,0.14,0.3,0,0.05,0.49
4062,"Transformers: Revenge of the Fallen (XBox 360, PS3, & 1 Versions)",0,2009,Shooter,Activision,0.25,0.01,0,0.22,0.49
4063,Football Manager Handheld 2009,0,2008,Sports,Sega,0,0.47,0,0.02,0.49
4064,Sniper: Art of Victory,1,2008,Shooter,City Interactive,0,0.45,0,0.03,0.49
4069,Bass Pro Shops: The Strike,0,2009,Sports,XS Games,0.45,0,0,0.03,0.49
4071,Jake Power: Fireman,0,2008,Adventure,Ubisoft,0.08,0.35,0,0.06,0.49
4072,Asphalt 3D,0,2011,Racing,Ubisoft,0.27,0.16,0.02,0.04,0.49
4074,Steel Diver,0,2011,Action,Nintendo,0.31,0.1,0.05,0.03,0.49
4078,Far Cry 2,1,2008,Action,Ubisoft,0.01,0.45,0,0.03,0.49
4081,Rayman Raving Rabbids: TV Party,0,2008,Misc,Ubisoft,0.44,0.01,0,0.04,0.49
4082,F.E.A.R. 2: Project Origin,0,2009,Shooter,Warner Bros. Interactive Entertainment,0.19,0.21,0.01,0.08,0.49
4085,Dead Space Extraction,0,2009,Shooter,Electronic Arts,0.33,0.11,0.01,0.04,0.48
4091,Active Life: Extreme Challenge,0,2009,Sports,Namco Bandai Games,0.15,0.27,0,0.06,0.48
4097,Silent Hill: Shattered Memories,0,2009,Action,Konami Digital Entertainment,0.23,0.19,0.01,0.05,0.48
4100,You're in the Movies,0,2008,Misc,Microsoft Game Studios,0.27,0.17,0,0.05,0.48
4101,Dark Sector,0,2008,Shooter,D3Publisher,0.22,0.2,0.01,0.05,0.48
4102,James Bond 007: Blood Stone,0,2010,Shooter,Activision,0.2,0.24,0,0.05,0.48
